time,high,low,close,volume
1676040600,406.98,406.11,406.19,13756
1676040900,406.61,406.1,406.27,9530
1676041200,406.26,405.045,405.48,17859
1676041500,406.495,405.635,406.31,12775
1676041800,407.58,406.32,407.33,29580
1676042100,408.055,406.94,407.695,21020
1676042400,407.99,407.43,407.74,14881
1676042700,407.8,407.22,407.58,5736
1676043000,407.75,407.26,407.57,8302
1676043300,407.89,407.3,407.47,6207
1676043600,407.26,406.63,406.97,12568
1676043900,406.99,406.52,406.75,8557
1676044200,406.68,405.88,406.34,9746
1676044500,406.655,406.17,406.65,8710
1676044800,406.94,406.58,406.77,6698
1676045100,407.24,406.545,407.195,11633
1676045400,407.435,406.51,406.88,7074
1676045700,407.47,406.86,407.42,4978
1676046000,407.475,407.27,407.39,7686
1676046300,407.31,406.78,406.86,9138
1676046600,406.94,406.34,406.59,8959
1676046900,407.05,406.695,406.765,4340
1676047200,406.925,406.62,406.75,3885
1676047500,406.82,406.28,406.5,3957
1676047800,406.66,406.36,406.66,9965
1676048100,406.705,406.12,406.3,6939
1676048400,406.385,405.575,405.68,23919
1676048700,406.005,405.695,405.89,8896
1676049000,405.975,405.45,405.53,7288
1676049300,405.66,405.28,405.54,5289
1676049600,406.06,405.62,405.91,16625
1676049900,406.05,405.56,405.87,5091
1676050200,406.64,405.78,406.22,12551
1676050500,406.45,406.12,406.215,14174
1676050800,406.4,406.08,406.14,6205
1676051100,406.52,406.115,406.18,6312
1676051400,406.55,406.09,406.51,5846
1676051700,406.905,406.455,406.9,10017
1676052000,407.05,406.74,406.87,14700
1676052300,407.1,406.725,406.93,12401
1676052600,407.14,406.85,407.14,21803
1676052900,407.72,407.16,407.72,15170
1676053200,408.135,407.71,407.815,30249
1676053500,408.035,407.54,407.635,21578
1676053800,407.57,407.225,407.48,18889
1676054100,407.67,407.33,407.51,14168
1676054400,407.52,406.94,406.98,19111
1676054700,407.33,406.93,407.29,8069
1676055000,407.345,406.995,407.115,9148
1676055300,407.045,406.73,406.73,10663
1676055600,406.85,406.43,406.565,16597
1676055900,406.685,406.455,406.575,16171
1676056200,406.9,406.54,406.785,10307
1676056500,407.06,406.69,406.87,9200
1676056800,406.94,406.7,406.72,7031
1676057100,406.7,406.38,406.47,14924
1676057400,407.0,406.22,406.975,13681
1676057700,407.13,406.725,406.93,13310
1676058000,406.995,406.585,406.79,8265
1676058300,406.91,406.53,406.865,11766
1676058600,407.44,406.77,407.365,11440
1676058900,407.47,407.225,407.4,15345
1676059200,407.77,407.17,407.195,24082
1676059500,407.65,407.28,407.46,13620
1676059800,407.63,407.245,407.275,10548
1676060100,407.39,406.865,407.07,15162
1676060400,407.045,406.735,406.78,10703
1676060700,407.15,406.74,407.135,9578
1676061000,407.41,407.17,407.345,18764
1676061300,407.84,407.365,407.84,17361
1676061600,407.89,407.53,407.75,22973
1676061900,408.22,407.72,408.185,23505
1676062200,408.44,407.68,408.18,26380
1676062500,408.37,407.9,408.01,73763
1676063100,407.83,407.81,407.83,2100
1676063400,407.93,407.78,407.93,2241
1676063700,407.83,407.83,407.83,500
1676064000,407.8,407.8,407.8,300
1676064300,407.93,407.93,407.93,100
1676064900,407.93,407.9,407.9,600
1676065200,407.94,407.92,407.92,400
1676298600,408.95,408.41,408.62,11261
1676298900,409.05,408.24,409.05,14101
1676299200,409.47,408.935,409.22,7110
1676299500,409.645,409.14,409.49,6892
1676299800,409.72,409.07,409.45,4110
1676300100,410.34,409.6,410.25,8219
1676300400,410.54,410.21,410.21,18625
1676300700,410.49,410.135,410.27,13020
1676301000,410.32,409.97,410.24,4942
1676301300,410.405,410.14,410.25,4422
1676301600,410.49,410.12,410.37,6194
1676301900,410.91,410.49,410.91,4029
1676302200,411.02,410.71,410.78,11677
1676302500,411.02,410.73,410.73,8011
1676302800,410.97,410.69,410.905,12491
1676303100,411.42,410.8,411.42,7659
1676303400,411.73,411.44,411.52,11699
1676303700,411.83,411.445,411.445,6537
1676304000,411.77,411.445,411.65,7741
1676304300,411.75,411.495,411.57,10139
1676304600,411.9,411.42,411.88,11456
1676304900,411.97,411.65,411.66,10290
1676305200,411.74,411.495,411.56,4716
1676305500,411.67,411.45,411.67,11544
1676305800,411.715,411.17,411.21,13119
1676306100,411.36,411.105,411.32,12649
1676306400,412.15,411.335,412.03,8511
1676306700,412.355,412.08,412.15,6881
1676307000,412.15,411.72,411.755,7797
1676307300,411.87,411.565,411.87,9740
1676307600,411.985,411.805,411.875,4127
1676307900,412.21,411.845,412.19,2925
1676308200,412.165,411.925,411.925,3601
1676308500,412.26,412.09,412.25,2551
1676308800,412.41,412.11,412.27,4944
1676309100,412.255,412.0,412.09,2440
1676309400,412.19,411.94,412.16,4999
1676309700,412.235,412.06,412.235,2280
1676310000,412.39,412.225,412.37,5372
1676310300,412.53,412.31,412.38,10309
1676310600,412.47,412.33,412.41,6720
1676310900,412.425,412.06,412.15,6636
1676311200,412.32,411.98,412.03,3368
1676311500,412.02,411.72,411.72,5961
1676311800,411.79,411.65,411.79,4568
1676312100,412.11,411.79,412.09,5908
1676312400,412.085,411.96,411.995,1891
1676312700,412.49,411.96,412.485,4007
1676313000,412.76,412.47,412.57,5622
1676313300,412.5,412.42,412.44,3510
1676313600,412.46,412.255,412.3,3163
1676313900,412.59,412.285,412.56,1488
1676314200,412.64,412.44,412.47,2868
1676314500,412.78,412.54,412.78,5746
1676314800,412.96,412.695,412.725,17472
1676315100,412.705,412.44,412.47,15641
1676315400,412.525,412.14,412.18,8162
1676315700,412.4,412.14,412.29,5442
1676316000,412.365,412.175,412.175,7983
1676316300,412.185,411.835,411.835,17205
1676316600,411.89,411.375,411.495,27219
1676316900,411.905,411.46,411.655,11597
1676317200,411.655,411.22,411.56,18663
1676317500,411.61,411.18,411.245,11807
1676317800,411.68,411.19,411.575,20612
1676318100,411.75,411.49,411.75,13345
1676318400,411.77,411.08,411.43,18498
1676318700,411.775,411.41,411.71,17396
1676319000,411.88,411.58,411.73,25783
1676319300,411.83,411.54,411.83,13877
1676319600,411.99,411.75,411.835,14531
1676319900,412.02,411.805,411.93,23383
1676320200,412.32,411.94,412.255,19512
1676320500,412.6,412.22,412.545,25508
1676320800,412.7,412.455,412.575,44612
1676321100,412.64,412.295,412.61,18494
1676321400,412.56,411.965,412.175,41664
1676321700,412.74,412.18,412.74,62430
1676322000,412.83,412.82,412.83,1000
1676322300,412.94,412.91,412.91,1500
1676322600,412.96,412.96,412.96,500
1676322900,413.07,412.94,412.94,1890
1676323800,412.89,412.87,412.87,500
1676324100,412.91,412.91,412.91,300
1676324400,412.92,412.92,412.92,230
1676324700,412.9,412.87,412.88,500
1676381400,416.45,413.13,415.36,1300
1676382300,412.19,412.19,412.19,100
1676382600,413.91,413.91,413.91,300
1676383800,411.76,411.76,411.76,600
1676385000,411.28,409.52,410.3,42025
1676385300,410.91,410.06,410.87,18757
1676385600,411.34,410.47,411.25,19266
1676385900,412.54,411.46,412.03,42099
1676386200,412.635,411.94,412.37,9690
1676386500,413.7,412.435,413.39,18880
