window,group,pop_i,chunk_i,chunk_j,chunk_k,good_idx_n,i_success_n,j_success_n,ij_success_n,score_k_mean_ij,valid_score,mean_z_i_all,mean_z_j_all,mean_z_k_all,max_z_i_all,max_z_j_all,max_z_k_all,elapsed_sec,status,error,arrays_path
0,gamma095098,2,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.3866562843322754,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_002/eval_arrays.npz
0,gamma095098,3,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.5910618305206299,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_003/eval_arrays.npz
0,gamma095098,4,0,1,2,93,4,4,4,4.7419920473249215,True,4.79997102956133,5.180848522924041,4.7419920473249215,5.731343246062631,6.940965538990426,5.950334995219621,1.963921308517456,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_004/eval_arrays.npz
0,gamma095098,5,0,1,2,93,1,1,1,2.7235056619531606,True,3.5082037314653176,3.335646918368298,2.7235056619531606,3.5082037314653176,3.335646918368298,2.7235056619531606,2.468308210372925,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_005/eval_arrays.npz
0,gamma095098,6,0,1,2,93,3,3,3,4.268851786785753,True,4.335343064467865,4.454769430590558,4.268851786785753,4.4809959695707855,5.50622754328947,4.656814308160496,1.0250957012176514,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_006/eval_arrays.npz
0,gamma095098,7,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.5795581340789795,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_007/eval_arrays.npz
0,gamma095098,8,0,1,2,93,4,4,4,5.262532656960454,True,2.8689307453096236,4.028998001117932,3.3702535049694005,5.48569171041271,7.149210222597876,5.778762809443306,1.6062982082366943,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_008/eval_arrays.npz
0,gamma095098,9,0,1,2,93,1,1,1,4.183674293487074,True,4.399249050924166,5.822844381935253,4.183674293487074,4.399249050924166,5.822844381935253,4.183674293487074,1.5444607734680176,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_009/eval_arrays.npz
0,gamma095098,10,0,1,2,93,0,0,0,nan,False,0.47337091683986365,0.3013915495260871,nan,0.9457311677257058,0.7931355594800814,nan,2.2467429637908936,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_010/eval_arrays.npz
0,gamma095098,11,0,1,2,93,5,5,5,4.017205216446809,True,-3.3855527689057454,3.1165315648091294,-1.417112791111957,5.2250896330547585,5.465205941559481,5.145857160394757,2.02632212638855,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_011/eval_arrays.npz
0,gamma095098,12,0,1,2,93,2,2,2,5.273814799426586,True,5.296896018147088,6.6884856825336705,5.273814799426586,5.310496096831128,6.8554397727565375,5.373802128823577,1.4484338760375977,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_012/eval_arrays.npz
0,gamma095098,13,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.6961150169372559,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_013/eval_arrays.npz
