time,k,path,size_mb,delta_mb,type,desc,rss_gb,vms_gb,sys_mem_percent
2026-05-09 17:46:08,15,l:histories['g_mcts_children'],1.2583,0.1407,list,list len=16,0.4032,3.0561,39.7
2026-05-09 17:46:48,16,l:last_X,38.9966,0.0,Population,Population,0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:X,38.9966,0.0,Population,Population,0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:G,4.3528,0.0915,Grammar,Grammar,0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:histories,1.57,0.1566,dict,dict len=37,0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:G._MCTS_CHILDREN,1.45,0.0286,dict,dict len=3344,0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:histories['g_mcts_children'],1.3991,0.1408,list,list len=17,0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.3831,0.0353,dict,dict len=14989,0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:initialization_kwargs,1.3572,0.0,dict,dict len=15,0.4137,3.0662,39.8
2026-05-09 17:46:48,16,l:initialization_kwargs['grmr_prior'],1.3556,0.0,Grammar,Grammar,0.4137,3.0662,39.8
2026-05-09 17:47:15,17,l:last_X,38.9966,0.0,Population,Population,0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:X,38.9966,0.0,Population,Population,0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:G,4.4051,0.0523,Grammar,Grammar,0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:histories,1.7246,0.1546,dict,dict len=37,0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:histories['g_mcts_children'],1.5398,0.1407,list,list len=18,0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:G._MCTS_CHILDREN,1.4641,0.0141,dict,dict len=3380,0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.411,0.0279,dict,dict len=15499,0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:initialization_kwargs,1.3572,0.0,dict,dict len=15,0.4284,3.081,40.0
2026-05-09 17:47:15,17,l:initialization_kwargs['grmr_prior'],1.3556,0.0,Grammar,Grammar,0.4284,3.081,40.0
2026-05-09 17:47:28,18,l:last_X,38.9953,-0.0014,Population,Population,0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:X,38.9953,-0.0014,Population,Population,0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:G,4.432,0.0268,Grammar,Grammar,0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:histories,1.8785,0.154,dict,dict len=37,0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:histories['g_mcts_children'],1.6805,0.1407,list,list len=19,0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:G._MCTS_CHILDREN,1.4743,0.0102,dict,dict len=3406,0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.4215,0.0105,dict,dict len=15690,0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:initialization_kwargs,1.3572,0.0,dict,dict len=15,0.4299,3.0829,40.0
2026-05-09 17:47:28,18,l:initialization_kwargs['grmr_prior'],1.3556,0.0,Grammar,Grammar,0.4299,3.0829,40.0
2026-05-09 17:48:16,19,l:last_X,38.9966,0.0014,Population,Population,0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:X,38.9966,0.0014,Population,Population,0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:G,4.629,0.197,Grammar,Grammar,0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:histories,2.0337,0.1552,dict,dict len=37,0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:histories['g_mcts_children'],1.8212,0.1407,list,list len=20,0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:G._MCTS_CHILDREN,1.5483,0.074,dict,dict len=3595,0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.4874,0.066,dict,dict len=16895,0.4163,3.0692,39.8
