time,pid,rss_gb,vms_gb,child_count,child_rss_gb,system_mem_percent,swap_percent,threads,fds,open_files,disk_free_gb,gpu_used_mb,gpu_total_mb,gpu_util_percent,tmp_files__tmp,tmp_gb__tmp,tmp_files_._tmp,tmp_gb_._tmp,tmp_files_._streamlit_tmp,tmp_gb_._streamlit_tmp
2026-05-08 13:07:13,18016,0.6288,2.1533,0,0.0,84.0,24.0,14,10,3,905.6361,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:18,18016,0.5507,2.0728,0,0.0,81.8,24.0,14,10,3,905.6357,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:23,18016,0.546,2.0699,0,0.0,81.7,24.0,14,10,3,905.6348,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:28,18016,0.6257,2.1504,0,0.0,84.2,24.0,14,10,3,905.6348,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:34,18016,0.5953,2.1197,0,0.0,83.0,24.0,14,11,4,905.6346,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:39,18016,0.6139,2.1367,0,0.0,83.7,24.0,14,10,3,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:44,18016,0.5985,2.1229,0,0.0,83.2,24.0,14,10,3,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:49,18016,0.7019,2.2268,0,0.0,86.1,24.0,14,10,3,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:07:55,18016,0.7245,2.2493,0,0.0,86.8,24.0,14,10,3,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:00,18016,0.7341,2.2591,0,0.0,87.0,24.0,14,10,3,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:06,18016,0.7172,2.264,0,0.0,86.6,24.0,14,10,3,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:11,18016,0.7436,2.2688,0,0.0,87.2,24.0,14,10,3,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:16,18016,0.7467,2.2718,0,0.0,87.4,24.0,14,10,3,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:22,18016,0.7515,2.2766,0,0.0,84.9,24.0,14,11,4,905.6334,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:27,18016,0.6635,2.1866,0,0.0,84.8,24.0,14,10,3,905.6329,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:32,18016,0.6673,2.1903,0,0.0,85.1,24.0,14,10,3,905.6318,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:38,18016,0.7833,2.3069,0,0.0,88.1,24.0,14,10,3,905.6318,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:43,18016,0.8178,2.342,0,0.0,89.3,24.0,14,10,3,905.6318,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:48,18016,0.8211,2.345,0,0.0,89.4,24.0,14,10,3,905.6318,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:54,18016,0.8234,2.3479,0,0.0,89.4,24.0,14,10,3,905.6318,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:08:59,18016,0.8276,2.3518,0,0.0,89.5,24.0,14,10,3,905.6318,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:04,18016,0.8316,2.3557,0,0.0,89.5,24.0,14,10,3,905.6318,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:10,18016,0.8337,2.3577,0,0.0,89.5,24.2,14,10,3,905.6318,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:15,18016,0.7486,2.2733,0,0.0,87.2,24.2,14,10,4,905.6317,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:21,18016,0.749,2.2738,0,0.0,87.3,24.2,14,10,3,905.6311,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:26,18016,0.7418,2.2723,0,0.0,87.1,24.2,14,10,3,905.63,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:31,18016,0.8536,2.384,0,0.0,89.0,24.2,14,10,3,905.63,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:37,18016,0.8931,2.4231,0,0.0,89.4,31.0,14,10,3,905.63,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:42,18016,0.896,2.426,0,0.0,89.7,31.0,14,10,3,905.63,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:48,18016,0.8988,2.429,0,0.0,89.7,31.0,14,10,3,905.63,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:54,18016,0.9002,2.4309,0,0.0,89.6,31.0,14,10,3,905.63,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:09:59,18016,0.9024,2.4329,0,0.0,89.5,31.0,14,10,3,905.63,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:05,18016,0.7953,2.325,0,0.0,86.8,31.0,14,11,4,905.6298,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:10,18016,0.809,2.333,0,0.0,87.3,31.0,14,11,4,905.632,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:15,18016,0.7905,2.3201,0,0.0,87.0,31.0,14,10,3,905.6282,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:20,18016,0.9198,2.4495,0,0.0,90.3,31.0,14,10,3,905.6282,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:26,18016,0.9629,2.4934,0,0.0,90.5,32.9,14,10,3,905.6282,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:32,18016,0.965,2.4963,0,0.0,88.9,33.0,14,10,3,905.6282,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:37,18016,0.9664,2.4973,0,0.0,89.0,33.0,14,10,3,905.6282,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:42,18016,0.9691,2.5002,0,0.0,89.1,33.0,14,10,3,905.6282,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:48,18016,0.9718,2.5032,0,0.0,89.2,33.0,14,10,3,905.6282,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:53,18016,0.8662,2.3963,0,0.0,86.2,33.0,14,10,3,905.6282,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:10:58,18016,0.868,2.3963,0,0.0,86.4,33.0,14,10,3,905.6277,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:11:03,18016,0.8833,2.4075,0,0.0,86.8,33.0,14,11,4,905.6275,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:11:09,18016,0.9569,2.4812,0,0.0,88.8,33.0,14,10,3,905.6263,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:11:14,18016,1.0497,2.5749,0,0.0,91.0,33.0,14,10,3,905.6263,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:11:20,18016,1.0511,2.5769,0,0.0,90.7,34.1,14,10,3,905.6263,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:11:25,18016,1.0528,2.5788,0,0.0,90.8,34.1,14,10,3,905.6263,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:11:31,18016,1.0542,2.5808,0,0.0,90.5,37.8,14,10,3,905.6263,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:11:36,18016,1.0568,2.5847,0,0.0,90.8,37.8,14,10,3,905.6263,0.0,4096.0,0.0,130,0.0002,0,0.0,0,0.0
2026-05-08 13:11:42,18016,1.0584,2.5866,0,0.0,91.3,37.9,14,10,3,905.6263,0.0,4096.0,0.0,131,0.0002,0,0.0,0,0.0
2026-05-08 13:11:50,18016,1.0514,2.5876,0,0.0,91.3,50.6,14,10,3,905.6251,0.0,4096.0,0.0,169,0.0004,0,0.0,0,0.0
2026-05-08 13:11:57,18016,0.9503,2.4856,0,0.0,88.8,50.6,14,10,3,905.6251,0.0,4096.0,0.0,169,0.0004,0,0.0,0,0.0
2026-05-08 13:12:02,18016,0.9413,2.4856,0,0.0,87.9,50.6,14,10,3,905.4862,0.0,4096.0,0.0,239,0.0696,0,0.0,0,0.0
2026-05-08 13:12:07,18016,0.9458,2.5016,0,0.0,86.6,61.3,14,11,4,905.2958,0.0,4096.0,0.0,239,0.0696,0,0.0,0,0.0
2026-05-08 13:12:14,18016,0.9458,2.5016,0,0.0,86.9,61.3,14,11,4,905.2958,0.0,4096.0,0.0,239,0.0696,0,0.0,0,0.0
2026-05-08 13:12:19,18016,0.9458,2.5016,0,0.0,86.8,61.3,14,11,4,905.2911,0.0,4096.0,0.0,239,0.0696,0,0.0,0,0.0
2026-05-08 13:12:24,18016,0.9092,2.4705,0,0.0,84.9,65.3,14,10,3,905.2964,0.0,4096.0,0.0,1064,0.0,0,0.0,0,0.0
2026-05-08 13:12:30,18016,0.9838,2.5452,0,0.0,89.2,77.8,14,10,3,905.2964,0.0,4096.0,0.0,1056,0.0,0,0.0,0,0.0
